1,2,34,You wake up in room and you can't remember anything from your past or to how you got here but you see a room painted blue with one door on your left and one your right.,Do you take the right door or the left door?,Right door,Left door
2,3,6,You walk into a room and notice it is green. You see a little girl in the middle of the room. She put her hand out to give you a pen. There is also a door just behind her.,Do you take the pen or go through the door?,Take the pen, Go through the door
3,4,11,You take the pen and go through the next door. You find that there is a table and piece of paper that says 'write a name'. You also notice that there are no doors in the room.,Do you write a name on the piece of paper or leave it blank?,Write a name on the paper,Leave the paper blank
4,5,8,You can't remember your name so you write the first thing that come into your head and see pistol show up on the table person with a target on their back.,Do you pick up the gun and shoot the person or leave the gun and spare the person's life?,Take the gun and shoot the person,Spare the person's life
5,-1,-1,You decide to pick up the gun and shoot the target only to find out they were blanks. The person turns around and shoots you. You bleed out and die.,-,-,-
6,7,9,You don't take the pen and walk through the door behind the girl. You now find yourself in a room with two doors a room smaller than before. You see two doors one on the floor the other on the ceiling.,Do you open the ceiling door or the floor door?,Open ceiling door, Open floor door
7,9,10,You opened the ceiling door and hear a growl. A bear drops down and stares at you point blank.,Do you use the floor door to escape or try and fight the bear?,Use the floor door to escape,Fight the bear
8,-1,-1,You decide not to pick up the gun and spare the persons' life. The person then turns around and shoots you. You and bleed out and die.,-,-,-
9,17,18,You open the floor door and fall through into a pink room. The room contains two items; a blue key and red key. You have to take one,Do you take the blue key or the red key?,Take the blue key,Take the red key
10,-1,-1,You try to fight the bear. The bear pounces onto you. You're on the floor staring straight into the bear's eyes. The bear opens its mouth and... You died,-,-,-
11,12,19,You decide to not write anything on the piece of paper. One minute passes since your decision and find that paper has burnt up and the table disappeared. The room now has two doors each labeled with a number. The right door is labeled with the number 1 and the left door is labeled with the number 3,Do you choose Door 1 or Door 3?,Choose door 1,Choose door 3
12,13,20,You chose the door with number 1. You find yourself in a purple room with no door but a TV screen. The screen turns on and displays the following question 'Do you know who you are? Answer as Yes or No',Do you answer Yes or No?,Yes,No
13,14,21,You decide to answer 'Yes' The screen turns off and the room goes dark. You can't see anything. Suddenly the lights come back on and you see the TV gone and gun has taken its place and a door has presented itself to the person.,Do you take the gun or leave it?,Take the gun,Leave the gun
14,22,23,You decide to take the gun and go through the door and find yourself in a orange room. You find a second person in the room. They give you piece of paper instructing you to shoot them.,Do you ignore the instructions or question the person?,Ignore the instructions,Question the person
15,16,24,You decide to shoot the person in the leg. You then suddenly get transported to a new room. A red room full of people where you count around a dozen just stood there. You try to talk to them but no one would dare to even to look at you.,Do you find a place to stand or a place to sit?,Find a place to stand,Find a place to sit
16,-1,-1,You decide to find a place to stand and wait it out. Eventually you are transported back to the real world. You try and make sense of everything that just happened. Eventually some people in black suits come to pick you up and drive you off somewhere. You are never to be seen again. The End,-,-,-
17,25,26,You take the blue key. Two doors present themselves to you. A red door and a blue door. Both have a key hole.,Do you open the blue door or the red door?,Open the blue door,Open the red door
18,26,25,You take the red key. Two doors present themselves to you. A blue door and a red door. Both have a key hole,Do you open the red door or the blue door?,Open the red door,Open the blue door
19,-1,-1,You chose the door with number 3. A laser is pointed at you and you hear gunshot and see it has hit you. You sit down and try to apply pressure but you start to lose strength. You now just wait it out for your inevitable death,-,-,-
20,27,85,You decide to answer 'No'. The text on the screen changes and now says 'Would you like to find out'.,Do you answer Yes or No?,Yes,No
21,28,29,You decide to not take the gun and go through the door empty handed. You find yourself in a green room. The person in the room presents you with a choice. Left or Right?,Do you choose left or right?,Left,Right
22,-1,-1,You decide not to shoot the person and spare their life. In return the other person shoots you in the head and you die. The End,-,-,-
23,22,15,You ask the person 'why do I have to shoot you?'. They respond saying 'Just do what the paper says if you want to stay alive.',Do you shoot the person or spare their life?,Shoot the person,Spare their life
24,-1,-1,You decide to find a place to sit and wait it out. Eventually you are transported back to the real world. You see that real world is not how you seemed it to be. The world is burning. All you can hear are screams from every direction. You look up to see the moon with a gigantic hole in it. You start wonder what happened. The End.,-,-,-
25,30,31,Logically you try to use the key to open the door that is the same colour as the key. The door opens. You go through and find that it is one of those green rooms again. The person in the middle of the room tell you to make a decision life or death.,Do you choose life or death?,Life,Death
26,-1,-1,You use the key to try and open the door that is the opposite colour of the key. You find that the door wont budge and that the other door has now disappeared. You now find the room has changed to white and you start to see water. fill the room up. The room eventually is filled with water and you have now drowned.,-,-,-
27,32,33,You decide to say 'Yes'. The room goes dark and then suddenly light is shined upon two pictures. One showing you happy with your family. The other showing you drenched in blood standing over your family. Which do you believe to be true,Do you believe yourself to be good or bad person.,You are a good person,You are a bad person
28,-1,-1,You decide to choose left. You get teleported to a white room. You start to feel the temperature of the start to rise. Eventually the temperature is so high that you start to feel light headed and dizzy. You pass out and eventually die from hyperthermia. The End,-,-,-
